sid,sx,sy,eid,ex,ey,num,team,time
593,118.1965863,24.48325282,394,118.1951547,24.48245227,235,524,1
593,118.1965863,24.48325282,394,118.1951547,24.48245227,235,525,1
597,118.1993934,24.48199585,415,118.1981423,24.48120808,235,533,1
595,118.1954935,24.48098029,409,118.194148,24.48017916,235,534,1
593,118.1965863,24.48325282,394,118.1951547,24.48245227,235,535,1
626,118.1924027,24.51099427,11,118.1921252,24.51028951,2,539,1
611,118.1909715,24.47351089,474,118.1916719,24.47450394,164,540,1
611,118.1909715,24.47351089,474,118.1916719,24.47450394,164,541,1
611,118.1909715,24.47351089,474,118.1916719,24.47450394,164,552,1
513,118.1965563,24.51562032,67,118.1978258,24.51630896,70,553,1
513,118.1965563,24.51562032,67,118.1978258,24.51630896,70,554,1
391,118.1937282,24.48305447,392,118.193125,24.48200444,235,6,2
124,118.1976646,24.50497586,123,118.1994763,24.50495817,36,9,2
124,118.1976646,24.50497586,123,118.1994763,24.50495817,36,11,2
260,118.1948307,24.49400823,258,118.1947818,24.49212855,199,23,2
393,118.1945519,24.48271123,391,118.1937282,24.48305447,235,24,2
130,118.1962564,24.50518584,124,118.1976646,24.50497586,144,27,2
130,118.1962564,24.50518584,124,118.1976646,24.50497586,144,28,2
38,118.1980956,24.50683039,39,118.1996098,24.50650354,144,29,2
144,118.1944171,24.50262549,128,118.1948681,24.50405143,164,31,2
156,118.1994072,24.50050697,152,118.1965815,24.5002015,167,33,2
209,118.2008385,24.4956138,208,118.2006286,24.49690385,235,34,2
391,118.1937282,24.48305447,392,118.193125,24.48200444,235,36,2
59,118.1993022,24.51561468,58,118.1991109,24.5153855,70,47,2
59,118.1993022,24.51561468,58,118.1991109,24.5153855,70,48,2
60,118.1997433,24.51418582,58,118.1991109,24.5153855,100,50,2
209,118.2008385,24.4956138,208,118.2006286,24.49690385,235,57,2
383,118.192428,24.48524636,384,118.1918336,24.48386186,235,65,2
283,118.1933238,24.48748071,280,118.1938897,24.48882923,199,66,2
244,118.198852,24.49087384,278,118.1964804,24.49125042,164,67,2
65,118.2001457,24.5153632,59,118.1993022,24.51561468,70,73,2
144,118.1944171,24.50262549,128,118.1948681,24.50405143,164,74,2
244,118.198852,24.49087384,243,118.1993321,24.49272,164,87,2
244,118.198852,24.49087384,243,118.1993321,24.49272,45,88,2
238,118.2008087,24.49269072,206,118.2008194,24.49428777,235,89,2
240,118.2003091,24.49058137,244,118.198852,24.49087384,199,92,2
288,118.1982475,24.48906232,244,118.198852,24.49087384,199,93,2
288,118.1982475,24.48906232,244,118.198852,24.49087384,199,94,2
261,118.1929646,24.49479039,201,118.1932617,24.49569742,199,95,2
144,118.1944171,24.50262549,128,118.1948681,24.50405143,164,102,2
38,118.1980956,24.50683039,39,118.1996098,24.50650354,178,106,2
288,118.1982475,24.48906232,244,118.198852,24.49087384,235,109,2
288,118.1982475,24.48906232,244,118.198852,24.49087384,235,110,2
288,118.1982475,24.48906232,244,118.198852,24.49087384,199,111,2
288,118.1982475,24.48906232,244,118.198852,24.49087384,199,112,2
240,118.2003091,24.49058137,244,118.198852,24.49087384,199,113,2
240,118.2003091,24.49058137,244,118.198852,24.49087384,199,114,2
238,118.2008087,24.49269072,240,118.2003091,24.49058137,199,118,2
289,118.1976334,24.48753149,288,118.1982475,24.48906232,199,120,2
289,118.1976334,24.48753149,288,118.1982475,24.48906232,199,121,2
204,118.1992565,24.49380775,196,118.1988556,24.49614206,235,123,2
144,118.1944171,24.50262549,128,118.1948681,24.50405143,164,131,2
144,118.1944171,24.50262549,128,118.1948681,24.50405143,164,132,2
144,118.1944171,24.50262549,128,118.1948681,24.50405143,164,133,2
124,118.1976646,24.50497586,130,118.1962564,24.50518584,235,134,2
124,118.1976646,24.50497586,130,118.1962564,24.50518584,235,135,2
124,118.1976646,24.50497586,130,118.1962564,24.50518584,235,138,2
124,118.1976646,24.50497586,130,118.1962564,24.50518584,235,139,2
261,118.1929646,24.49479039,201,118.1932617,24.49569742,235,142,2
209,118.2008385,24.4956138,208,118.2006286,24.49690385,235,144,2
289,118.1976334,24.48753149,288,118.1982475,24.48906232,235,145,2
289,118.1976334,24.48753149,288,118.1982475,24.48906232,235,146,2
289,118.1976334,24.48753149,288,118.1982475,24.48906232,199,147,2
289,118.1976334,24.48753149,288,118.1982475,24.48906232,199,148,2
290,118.196225,24.48717114,289,118.1976334,24.48753149,199,157,2
196,118.1988556,24.49614206,204,118.1992565,24.49380775,199,164,2
261,118.1929646,24.49479039,201,118.1932617,24.49569742,235,174,2
290,118.196225,24.48717114,289,118.1976334,24.48753149,175,176,2
220,118.2054719,24.49586346,188,118.2049736,24.4973307,199,179,2
166,118.204297,24.49922681,188,118.2049736,24.4973307,199,180,2
238,118.2008087,24.49269072,206,118.2008194,24.49428777,235,182,2
59,118.1993022,24.51561468,58,118.1991109,24.5153855,70,187,2
59,118.1993022,24.51561468,58,118.1991109,24.5153855,70,188,2
65,118.2001457,24.5153632,64,118.2014683,24.51516528,164,189,2
65,118.2001457,24.5153632,64,118.2014683,24.51516528,164,190,2
59,118.1993022,24.51561468,58,118.1991109,24.5153855,70,191,2
59,118.1993022,24.51561468,58,118.1991109,24.5153855,70,192,2
60,118.1997433,24.51418582,58,118.1991109,24.5153855,100,193,2
60,118.1997433,24.51418582,58,118.1991109,24.5153855,100,194,2
261,118.1929646,24.49479039,201,118.1932617,24.49569742,235,209,2
240,118.2003091,24.49058137,244,118.198852,24.49087384,199,213,2
289,118.1976334,24.48753149,290,118.196225,24.48717114,34,217,2
289,118.1976334,24.48753149,290,118.196225,24.48717114,34,218,2
288,118.1982475,24.48906232,244,118.198852,24.49087384,199,219,2
288,118.1982475,24.48906232,244,118.198852,24.49087384,235,222,2
165,118.2039623,24.50079857,166,118.204297,24.49922681,164,224,2
391,118.1937282,24.48305447,390,118.1940636,24.48394469,199,229,2
124,118.1976646,24.50497586,130,118.1962564,24.50518584,235,237,2
124,118.1976646,24.50497586,130,118.1962564,24.50518584,235,239,2
144,118.1944171,24.50262549,128,118.1948681,24.50405143,164,240,2
301,118.2028478,24.48804985,304,118.2014941,24.48527326,37,244,2
283,118.1933238,24.48748071,280,118.1938897,24.48882923,235,247,2
283,118.1933238,24.48748071,280,118.1938897,24.48882923,235,248,2
283,118.1933238,24.48748071,280,118.1938897,24.48882923,235,249,2
289,118.1976334,24.48753149,288,118.1982475,24.48906232,94,250,2
289,118.1976334,24.48753149,288,118.1982475,24.48906232,35,251,2
288,118.1982475,24.48906232,289,118.1976334,24.48753149,37,252,2
288,118.1982475,24.48906232,289,118.1976334,24.48753149,37,253,2
169,118.2042548,24.50272063,170,118.2041008,24.50080758,100,257,2
393,118.1945519,24.48271123,391,118.1937282,24.48305447,199,265,2
144,118.1944171,24.50262549,128,118.1948681,24.50405143,164,268,2
321,118.1991361,24.48472984,312,118.1998647,24.48598844,164,272,2
103,118.2047782,24.50884886,104,118.2049322,24.50741749,235,274,2
103,118.2047782,24.50884886,104,118.2049322,24.50741749,235,281,2
240,118.2003091,24.49058137,244,118.198852,24.49087384,100,284,2
240,118.2003091,24.49058137,244,118.198852,24.49087384,199,307,2
95,118.204395,24.51017449,103,118.2047782,24.50884886,199,308,2
95,118.204395,24.51017449,103,118.2047782,24.50884886,199,309,2
626,118.1924027,24.51099427,11,118.1921252,24.51028951,37,310,2
103,118.2047782,24.50884886,104,118.2049322,24.50741749,37,311,2
169,118.2042548,24.50272063,168,118.2046829,24.50420493,201,312,2
169,118.2042548,24.50272063,168,118.2046829,24.50420493,201,313,2
238,118.2008087,24.49269072,240,118.2003091,24.49058137,235,314,2
59,118.1993022,24.51561468,58,118.1991109,24.5153855,70,320,2
59,118.1993022,24.51561468,58,118.1991109,24.5153855,70,321,2
65,118.2001457,24.5153632,64,118.2014683,24.51516528,138,322,2
60,118.1997433,24.51418582,58,118.1991109,24.5153855,100,323,2
321,118.1991361,24.48472984,312,118.1998647,24.48598844,96,329,2
238,118.2008087,24.49269072,240,118.2003091,24.49058137,235,331,2
283,118.1933238,24.48748071,280,118.1938897,24.48882923,235,332,2
169,118.2042548,24.50272063,168,118.2046829,24.50420493,201,333,2
626,118.1924027,24.51099427,11,118.1921252,24.51028951,37,334,2
411,118.1933624,24.47875876,408,118.1927202,24.47744438,34,339,2
95,118.204395,24.51017449,103,118.2047782,24.50884886,199,340,2
95,118.204395,24.51017449,103,118.2047782,24.50884886,90,341,2
170,118.2041008,24.50080758,169,118.2042548,24.50272063,201,342,2
170,118.2041008,24.50080758,169,118.2042548,24.50272063,201,343,2
166,118.204297,24.49922681,188,118.2049736,24.4973307,199,344,2
396,118.1907993,24.48244597,382,118.1915082,24.48390213,235,345,2
204,118.1992565,24.49380775,196,118.1988556,24.49614206,216,349,2
196,118.1988556,24.49614206,204,118.1992565,24.49380775,199,350,2
196,118.1988556,24.49614206,204,118.1992565,24.49380775,199,359,2
391,118.1937282,24.48305447,390,118.1940636,24.48394469,235,362,2
170,118.2041008,24.50080758,169,118.2042548,24.50272063,201,363,2
165,118.2039623,24.50079857,166,118.204297,24.49922681,164,364,2
391,118.1937282,24.48305447,390,118.1940636,24.48394469,235,376,2
393,118.1945519,24.48271123,391,118.1937282,24.48305447,235,377,2
166,118.204297,24.49922681,165,118.2039623,24.50079857,118,380,2
166,118.204297,24.49922681,165,118.2039623,24.50079857,118,381,2
166,118.204297,24.49922681,165,118.2039623,24.50079857,18,382,2
238,118.2008087,24.49269072,206,118.2008194,24.49428777,187,385,2
238,118.2008087,24.49269072,206,118.2008194,24.49428777,187,386,2
65,118.2001457,24.5153632,64,118.2014683,24.51516528,126,391,2
60,118.1997433,24.51418582,58,118.1991109,24.5153855,100,393,2
176,118.2012049,24.49954814,180,118.1994123,24.49944483,36,394,2
240,118.2003091,24.49058137,244,118.198852,24.49087384,12,404,2
240,118.2003091,24.49058137,244,118.198852,24.49087384,12,405,2
288,118.1982475,24.48906232,244,118.198852,24.49087384,12,406,2
288,118.1982475,24.48906232,244,118.198852,24.49087384,12,407,2
288,118.1982475,24.48906232,244,118.198852,24.49087384,12,408,2
288,118.1982475,24.48906232,244,118.198852,24.49087384,12,409,2
393,118.1945519,24.48271123,391,118.1937282,24.48305447,235,410,2
224,118.2056626,24.49414238,225,118.2053157,24.49246638,36,415,2
626,118.1924027,24.51099427,11,118.1921252,24.51028951,37,416,2
224,118.2056626,24.49414238,225,118.2053157,24.49246638,36,417,2
220,118.2054719,24.49586346,188,118.2049736,24.4973307,199,418,2
220,118.2054719,24.49586346,188,118.2049736,24.4973307,199,419,2
176,118.2012049,24.49954814,180,118.1994123,24.49944483,36,422,2
59,118.1993022,24.51561468,65,118.2001457,24.5153632,126,427,2
59,118.1993022,24.51561468,65,118.2001457,24.5153632,126,428,2
283,118.1933238,24.48748071,280,118.1938897,24.48882923,235,432,2
283,118.1933238,24.48748071,280,118.1938897,24.48882923,235,433,2
391,118.1937282,24.48305447,390,118.1940636,24.48394469,235,436,2
130,118.1962564,24.50518584,129,118.1958833,24.50377013,235,450,2
130,118.1962564,24.50518584,129,118.1958833,24.50377013,235,451,2
238,118.2008087,24.49269072,206,118.2008194,24.49428777,187,453,2
393,118.1945519,24.48271123,391,118.1937282,24.48305447,235,454,2
124,118.1976646,24.50497586,130,118.1962564,24.50518584,188,461,2
124,118.1976646,24.50497586,130,118.1962564,24.50518584,188,462,2
124,118.1976646,24.50497586,130,118.1962564,24.50518584,188,464,2
124,118.1976646,24.50497586,130,118.1962564,24.50518584,188,465,2
283,118.1933238,24.48748071,280,118.1938897,24.48882923,235,474,2
626,118.1924027,24.51099427,11,118.1921252,24.51028951,37,478,2
165,118.2039623,24.50079857,166,118.204297,24.49922681,164,479,2
396,118.1907993,24.48244597,382,118.1915082,24.48390213,80,482,2
59,118.1993022,24.51561468,58,118.1991109,24.5153855,70,483,2
59,118.1993022,24.51561468,58,118.1991109,24.5153855,70,484,2
65,118.2001457,24.5153632,64,118.2014683,24.51516528,162,485,2
60,118.1997433,24.51418582,58,118.1991109,24.5153855,100,487,2
169,118.2042548,24.50272063,170,118.2041008,24.50080758,100,493,2
169,118.2042548,24.50272063,170,118.2041008,24.50080758,100,495,2
391,118.1937282,24.48305447,390,118.1940636,24.48394469,235,497,2
391,118.1937282,24.48305447,390,118.1940636,24.48394469,235,498,2
393,118.1945519,24.48271123,391,118.1937282,24.48305447,235,512,2
393,118.1945519,24.48271123,391,118.1937282,24.48305447,235,513,2
391,118.1937282,24.48305447,390,118.1940636,24.48394469,235,527,2
393,118.1945519,24.48271123,391,118.1937282,24.48305447,235,529,2
626,118.1924027,24.51099427,11,118.1921252,24.51028951,2,539,2
60,118.1997433,24.51418582,58,118.1991109,24.5153855,100,543,2
60,118.1997433,24.51418582,58,118.1991109,24.5153855,100,544,2
59,118.1993022,24.51561468,58,118.1991109,24.5153855,70,545,2
59,118.1993022,24.51561468,58,118.1991109,24.5153855,70,546,2
65,118.2001457,24.5153632,64,118.2014683,24.51516528,164,547,2
65,118.2001457,24.5153632,64,118.2014683,24.51516528,59,548,2
59,118.1993022,24.51561468,58,118.1991109,24.5153855,70,549,2
59,118.1993022,24.51561468,58,118.1991109,24.5153855,70,550,2
608,118.1920262,24.47688385,426,118.1936196,24.4770663,201,557,2
569,118.197204,24.4900175,278,118.1964804,24.49125042,198,559,2
608,118.1920262,24.47688385,426,118.1936196,24.4770663,201,561,2
569,118.197204,24.4900175,278,118.1964804,24.49125042,198,565,2
569,118.197204,24.4900175,278,118.1964804,24.49125042,198,566,2
573,118.2029461,24.49119808,254,118.2024083,24.48988401,164,567,2
573,118.2029461,24.49119808,254,118.2024083,24.48988401,164,569,2
573,118.2029461,24.49119808,254,118.2024083,24.48988401,164,570,2
569,118.197204,24.4900175,278,118.1964804,24.49125042,198,579,2
569,118.197204,24.4900175,278,118.1964804,24.49125042,13,583,2
569,118.197204,24.4900175,278,118.1964804,24.49125042,77,585,2
573,118.2029461,24.49119808,254,118.2024083,24.48988401,164,586,2
573,118.2029461,24.49119808,254,118.2024083,24.48988401,164,587,2
573,118.2029461,24.49119808,254,118.2024083,24.48988401,164,592,2
573,118.2029461,24.49119808,254,118.2024083,24.48988401,164,593,2
573,118.2029461,24.49119808,254,118.2024083,24.48988401,164,596,2
573,118.2029461,24.49119808,254,118.2024083,24.48988401,164,597,2
608,118.1920262,24.47688385,426,118.1936196,24.4770663,201,598,2
608,118.1920262,24.47688385,426,118.1936196,24.4770663,201,599,2
573,118.2029461,24.49119808,254,118.2024083,24.48988401,164,603,2
608,118.1920262,24.47688385,426,118.1936196,24.4770663,36,606,2
26,118.1946378,24.51064543,503,118.1933791,24.51140735,504,15,3
39,118.1996098,24.50650354,123,118.1994763,24.50495817,91,16,3
