id,sid,sx,sy,eid,ex,ey,num,time,max
1089,502,118.1946999,24.51194689,26,118.1946378,24.51064543,1650,1,504
1104,508,118.1935513,24.50932021,28,118.1947252,24.50969497,216,1,428
1115,513,118.1965563,24.51562032,67,118.1978258,24.51630896,742,1,235
1185,542,118.1978501,24.50122309,152,118.1965815,24.5002015,1119,1,235
1192,544,118.20224,24.50146014,157,118.2012388,24.50061944,338,1,199
1218,555,118.2029758,24.49384926,216,118.2034853,24.4949429,1019,1,199
1248,569,118.197204,24.4900175,278,118.1964804,24.49125042,37,1,235
1306,593,118.1965863,24.48325282,394,118.1951547,24.48245227,2171,1,235
1310,595,118.1954935,24.48098029,409,118.194148,24.48017916,1752,1,235
1312,596,118.198109,24.48259481,395,118.196897,24.48179809,470,1,235
1315,597,118.1993934,24.48199585,415,118.1981423,24.48120808,1156,1,235
1319,599,118.1969684,24.48031433,419,118.1956802,24.47951568,470,1,235
1322,600,118.1981935,24.47982122,414,118.19933,24.48060843,940,1,235
1330,603,118.1930512,24.47898378,408,118.1927202,24.47744438,542,1,235
1340,608,118.1920262,24.47688385,426,118.1936196,24.4770663,34,1,235
1347,611,118.1909715,24.47351089,474,118.1916719,24.47450394,1312,1,164
1372,621,118.2054266,24.5048614,167,118.2049419,24.50520454,138,1,94
1384,626,118.1924027,24.51099427,11,118.1921252,24.51028951,150,1,37
1386,627,118.1910466,24.48835733,281,118.191583,24.48935938,1510,1,164
648,38,118.1980956,24.50683039,39,118.1996098,24.50650354,322,2,504
1094,59,118.1993022,24.51561468,58,118.1991109,24.5153855,980,2,70
1237,59,118.1993022,24.51561468,65,118.2001457,24.5153632,252,2,226
1118,60,118.1997433,24.51418582,58,118.1991109,24.5153855,800,2,352
1236,65,118.2001457,24.5153632,59,118.1993022,24.51561468,70,2,226
1259,65,118.2001457,24.5153632,64,118.2014683,24.51516528,977,2,352
21,95,118.204395,24.51017449,103,118.2047782,24.50884886,687,2,856
24,103,118.2047782,24.50884886,104,118.2049322,24.50741749,507,2,1008
65,124,118.1976646,24.50497586,123,118.1994763,24.50495817,72,2,1008
82,124,118.1976646,24.50497586,130,118.1962564,24.50518584,2162,2,856
81,130,118.1962564,24.50518584,124,118.1976646,24.50497586,288,2,856
85,130,118.1962564,24.50518584,129,118.1958833,24.50377013,470,2,1008
123,144,118.1944171,24.50262549,128,118.1948681,24.50405143,1312,2,1713
153,156,118.1994072,24.50050697,152,118.1965815,24.5002015,167,2,1008
182,165,118.2039623,24.50079857,166,118.204297,24.49922681,492,2,1008
181,166,118.204297,24.49922681,165,118.2039623,24.50079857,254,2,1008
253,166,118.204297,24.49922681,188,118.2049736,24.4973307,398,2,1008
191,169,118.2042548,24.50272063,168,118.2046829,24.50420493,603,2,1008
194,169,118.2042548,24.50272063,170,118.2041008,24.50080758,300,2,1008
193,170,118.2041008,24.50080758,169,118.2042548,24.50272063,603,2,1008
223,176,118.2012049,24.49954814,180,118.1994123,24.49944483,72,2,1008
289,196,118.1988556,24.49614206,204,118.1992565,24.49380775,597,2,856
288,204,118.1992565,24.49380775,196,118.1988556,24.49614206,451,2,856
300,209,118.2008385,24.4956138,208,118.2006286,24.49690385,705,2,856
330,220,118.2054719,24.49586346,188,118.2049736,24.4973307,597,2,1008
345,224,118.2056626,24.49414238,225,118.2053157,24.49246638,72,2,1008
376,238,118.2008087,24.49269072,206,118.2008194,24.49428777,1031,2,1008
385,238,118.2008087,24.49269072,240,118.2003091,24.49058137,669,2,1008
395,240,118.2003091,24.49058137,244,118.198852,24.49087384,1119,2,1008
392,244,118.198852,24.49087384,243,118.1993321,24.49272,209,2,1008
489,244,118.198852,24.49087384,278,118.1964804,24.49125042,164,2,1008
444,260,118.1948307,24.49400823,258,118.1947818,24.49212855,199,2,856
450,261,118.1929646,24.49479039,201,118.1932617,24.49569742,904,2,705
502,283,118.1933238,24.48748071,280,118.1938897,24.48882923,1844,2,1008
512,288,118.1982475,24.48906232,244,118.198852,24.49087384,1748,2,504
517,288,118.1982475,24.48906232,289,118.1976334,24.48753149,74,2,504
516,289,118.1976334,24.48753149,288,118.1982475,24.48906232,1395,2,504
519,289,118.1976334,24.48753149,290,118.196225,24.48717114,68,2,504
518,290,118.196225,24.48717114,289,118.1976334,24.48753149,374,2,504
548,301,118.2028478,24.48804985,304,118.2014941,24.48527326,37,2,1008
587,321,118.1991361,24.48472984,312,118.1998647,24.48598844,260,2,504
747,383,118.192428,24.48524636,384,118.1918336,24.48386186,235,2,1008
758,391,118.1937282,24.48305447,390,118.1940636,24.48394469,1609,2,554
763,391,118.1937282,24.48305447,392,118.193125,24.48200444,470,2,705
764,393,118.1945519,24.48271123,391,118.1937282,24.48305447,1844,2,554
770,396,118.1907993,24.48244597,382,118.1915082,24.48390213,315,2,856
812,411,118.1933624,24.47875876,408,118.1927202,24.47744438,34,2,1008
1248,569,118.197204,24.4900175,278,118.1964804,24.49125042,882,2,235
1257,573,118.2029461,24.49119808,254,118.2024083,24.48988401,1640,2,164
1340,608,118.1920262,24.47688385,426,118.1936196,24.4770663,840,2,235
1384,626,118.1924027,24.51099427,11,118.1921252,24.51028951,150,2,37
336,26,118.1946378,24.51064543,25,118.1960842,24.51082948,858,3,1512
1092,26,118.1946378,24.51064543,503,118.1933791,24.51140735,504,3,504
63,39,118.1996098,24.50650354,123,118.1994763,24.50495817,995,3,504
805,44,118.2003195,24.50938552,47,118.2007214,24.5104762,443,3,428
870,50,118.2003003,24.51108935,49,118.1980189,24.51098186,557,3,1285
1304,67,118.1978258,24.51630896,66,118.198525,24.51599731,742,3,277
20,101,118.2042224,24.50782179,102,118.2043085,24.50694379,1393,3,554
88,129,118.1958833,24.50377013,131,118.1975214,24.50381595,470,3,1008
95,132,118.1992743,24.50380704,131,118.1975214,24.50381595,470,3,1008
156,141,118.1993983,24.50203491,156,118.1994072,24.50050697,470,3,1008
142,142,118.1958249,24.50185552,152,118.1965815,24.5002015,1736,3,856
141,152,118.1965815,24.5002015,142,118.1958249,24.50185552,450,3,856
144,152,118.1965815,24.5002015,153,118.1950299,24.49961974,199,3,1008
154,152,118.1965815,24.5002015,156,118.1994072,24.50050697,470,3,1008
153,156,118.1994072,24.50050697,152,118.1965815,24.5002015,167,3,1008
159,157,118.2012388,24.50061944,156,118.1994072,24.50050697,736,3,1008
289,196,118.1988556,24.49614206,204,118.1992565,24.49380775,597,3,856
281,198,118.1951292,24.49700371,199,118.1946976,24.49528905,199,3,1411
288,204,118.1992565,24.49380775,196,118.1988556,24.49614206,451,3,856
300,209,118.2008385,24.4956138,208,118.2006286,24.49690385,604,3,856
320,216,118.2034853,24.4949429,212,118.2020267,24.49494015,820,3,1008
401,216,118.2034853,24.4949429,236,118.203781,24.49246709,199,3,1008
334,222,118.2056634,24.49591626,189,118.2051552,24.49744462,332,3,1008
434,255,118.1945341,24.49405849,199,118.1946976,24.49528905,940,3,1713
441,255,118.1945341,24.49405849,259,118.1945043,24.49211796,370,3,1713
473,266,118.192609,24.49357461,270,118.1927913,24.49265572,100,3,705
1057,278,118.1964804,24.49125042,277,118.1947334,24.49136427,37,3,856
498,281,118.191583,24.48935938,280,118.1938897,24.48882923,467,3,1008
548,301,118.2028478,24.48804985,304,118.2014941,24.48527326,163,3,1008
587,321,118.1991361,24.48472984,312,118.1998647,24.48598844,164,3,504
766,395,118.196897,24.48179809,394,118.1951547,24.48245227,235,3,856
839,395,118.196897,24.48179809,419,118.1956802,24.47951568,235,3,1008
772,397,118.1907795,24.48161194,384,118.1918336,24.48386186,235,3,856
806,408,118.1927202,24.47744438,406,118.1912565,24.47807006,542,3,1008
808,409,118.194148,24.48017916,402,118.1925597,24.48081353,1752,3,1008
812,411,118.1933624,24.47875876,408,118.1927202,24.47744438,305,3,1008
836,419,118.1956802,24.47951568,409,118.194148,24.48017916,694,3,1008
1089,502,118.1946999,24.51194689,26,118.1946378,24.51064543,910,3,504
1115,513,118.1965563,24.51562032,67,118.1978258,24.51630896,742,3,235
1218,555,118.2029758,24.49384926,216,118.2034853,24.4949429,1249,3,199
1306,593,118.1965863,24.48325282,394,118.1951547,24.48245227,2079,3,235
1310,595,118.1954935,24.48098029,409,118.194148,24.48017916,1844,3,235
1312,596,118.198109,24.48259481,395,118.196897,24.48179809,470,3,235
1315,597,118.1993934,24.48199585,415,118.1981423,24.48120808,1139,3,235
1319,599,118.1969684,24.48031433,419,118.1956802,24.47951568,542,3,235
1322,600,118.1981935,24.47982122,414,118.19933,24.48060843,1032,3,235
1347,611,118.1909715,24.47351089,474,118.1916719,24.47450394,656,3,164
1372,621,118.2054266,24.5048614,167,118.2049419,24.50520454,592,3,94
1384,626,118.1924027,24.51099427,11,118.1921252,24.51028951,150,3,37
1386,627,118.1910466,24.48835733,281,118.191583,24.48935938,1513,3,164
447,3,118.1942786,24.51476058,4,118.1953414,24.5132072,1322,4,2016
470,32,118.1959306,24.50821225,31,118.1961226,24.5096796,504,4,2016
71,33,118.1957203,24.50713071,126,118.1952792,24.50575812,479,4,2016
648,38,118.1980956,24.50683039,39,118.1996098,24.50650354,645,4,504
63,39,118.1996098,24.50650354,123,118.1994763,24.50495817,466,4,504
1071,58,118.1991109,24.5153855,57,118.1987173,24.51533141,1780,4,100
1094,59,118.1993022,24.51561468,58,118.1991109,24.5153855,1050,4,70
1237,59,118.1993022,24.51561468,65,118.2001457,24.5153632,252,4,226
1118,60,118.1997433,24.51418582,58,118.1991109,24.5153855,34,4,352
1213,64,118.2014683,24.51516528,63,118.20145,24.51399818,851,4,258
1389,64,118.2014683,24.51516528,71,118.2016504,24.51481484,126,4,126
1259,65,118.2001457,24.5153632,64,118.2014683,24.51516528,252,4,352
24,103,118.2047782,24.50884886,104,118.2049322,24.50741749,687,4,1008
50,114,118.2045339,24.50548195,115,118.204227,24.50417855,420,4,1008
66,123,118.1994763,24.50495817,124,118.1976646,24.50497586,2112,4,1008
65,124,118.1976646,24.50497586,123,118.1994763,24.50495817,576,4,1008
82,124,118.1976646,24.50497586,130,118.1962564,24.50518584,2074,4,856
81,130,118.1962564,24.50518584,124,118.1976646,24.50497586,470,4,856
85,130,118.1962564,24.50518584,129,118.1958833,24.50377013,1151,4,1008
123,144,118.1944171,24.50262549,128,118.1948681,24.50405143,792,4,1713
154,152,118.1965815,24.5002015,156,118.1994072,24.50050697,470,4,1008
143,153,118.1950299,24.49961974,152,118.1965815,24.5002015,68,4,1008
149,154,118.194589,24.49968586,143,118.1943111,24.50197753,597,4,2016
177,165,118.2039623,24.50079857,164,118.2039431,24.50157962,254,4,554
182,165,118.2039623,24.50079857,166,118.204297,24.49922681,28,4,1008
253,166,118.204297,24.49922681,188,118.2049736,24.4973307,492,4,1008
192,168,118.2046829,24.50420493,169,118.2042548,24.50272063,36,4,1008
191,169,118.2042548,24.50272063,168,118.2046829,24.50420493,603,4,1008
194,169,118.2042548,24.50272063,170,118.2041008,24.50080758,109,4,1008
193,170,118.2041008,24.50080758,169,118.2042548,24.50272063,101,4,1008
223,176,118.2012049,24.49954814,180,118.1994123,24.49944483,144,4,1008
238,183,118.2032749,24.49825206,174,118.20319,24.49982378,616,4,1008
289,196,118.1988556,24.49614206,204,118.1992565,24.49380775,597,4,856
288,204,118.1992565,24.49380775,196,118.1988556,24.49614206,940,4,856
300,209,118.2008385,24.4956138,208,118.2006286,24.49690385,470,4,856
330,220,118.2054719,24.49586346,188,118.2049736,24.4973307,644,4,1008
345,224,118.2056626,24.49414238,225,118.2053157,24.49246638,305,4,1008
353,225,118.2053157,24.49246638,228,118.2050757,24.49188763,72,4,453
376,238,118.2008087,24.49269072,206,118.2008194,24.49428777,235,4,1008
385,238,118.2008087,24.49269072,240,118.2003091,24.49058137,669,4,1008
395,240,118.2003091,24.49058137,244,118.198852,24.49087384,1690,4,1008
392,244,118.198852,24.49087384,243,118.1993321,24.49272,1971,4,1008
489,244,118.198852,24.49087384,278,118.1964804,24.49125042,896,4,1008
440,259,118.1945043,24.49211796,255,118.1945341,24.49405849,638,4,1713
444,260,118.1948307,24.49400823,258,118.1947818,24.49212855,199,4,856
450,261,118.1929646,24.49479039,201,118.1932617,24.49569742,1139,4,705
473,266,118.192609,24.49357461,270,118.1927913,24.49265572,235,4,705
1058,277,118.1947334,24.49136427,278,118.1964804,24.49125042,940,4,856
488,278,118.1964804,24.49125042,244,118.198852,24.49087384,396,4,1008
1057,278,118.1964804,24.49125042,277,118.1947334,24.49136427,650,4,856
495,279,118.19413,24.4902268,280,118.1938897,24.48882923,99,4,1008
494,280,118.1938897,24.48882923,279,118.19413,24.4902268,1844,4,1008
498,281,118.191583,24.48935938,280,118.1938897,24.48882923,99,4,1008
502,283,118.1933238,24.48748071,280,118.1938897,24.48882923,1844,4,1008
512,288,118.1982475,24.48906232,244,118.198852,24.49087384,4178,4,504
516,289,118.1976334,24.48753149,288,118.1982475,24.48906232,374,4,504
519,289,118.1976334,24.48753149,290,118.196225,24.48717114,74,4,504
518,290,118.196225,24.48717114,289,118.1976334,24.48753149,349,4,504
530,297,118.2032897,24.48891166,251,118.2035872,24.48953466,486,4,453
539,300,118.2030299,24.4875241,298,118.2035675,24.48878793,36,4,856
552,300,118.2030299,24.4875241,305,118.2021657,24.48578442,100,4,856
548,301,118.2028478,24.48804985,304,118.2014941,24.48527326,126,4,1008
567,312,118.1998647,24.48598844,304,118.2014941,24.48527326,260,4,1008
594,318,118.1975651,24.4854146,322,118.1954972,24.48624342,1356,4,504
623,335,118.1949789,24.48549304,293,118.1936676,24.48597401,1629,4,1008
688,363,118.1995556,24.48106168,362,118.2003233,24.48239022,470,4,856
747,383,118.192428,24.48524636,384,118.1918336,24.48386186,235,4,1008
773,384,118.1918336,24.48386186,397,118.1907795,24.48161194,235,4,856
758,391,118.1937282,24.48305447,390,118.1940636,24.48394469,1609,4,554
763,391,118.1937282,24.48305447,392,118.193125,24.48200444,485,4,705
764,393,118.1945519,24.48271123,391,118.1937282,24.48305447,3449,4,554
768,395,118.196897,24.48179809,354,118.19802,24.48397351,1139,4,856
772,397,118.1907795,24.48161194,384,118.1918336,24.48386186,705,4,856
806,408,118.1927202,24.47744438,406,118.1912565,24.47807006,102,4,1008
1257,573,118.2029461,24.49119808,254,118.2024083,24.48988401,1476,4,164
849,25,118.1960842,24.51082948,49,118.1980189,24.51098186,352,5,1285
336,26,118.1946378,24.51064543,25,118.1960842,24.51082948,748,5,1512
1092,26,118.1946378,24.51064543,503,118.1933791,24.51140735,910,5,504
470,32,118.1959306,24.50821225,31,118.1961226,24.5096796,34,5,2016
647,39,118.1996098,24.50650354,38,118.1980956,24.50683039,165,5,504
63,39,118.1996098,24.50650354,123,118.1994763,24.50495817,266,5,504
805,44,118.2003195,24.50938552,47,118.2007214,24.5104762,1033,5,428
848,49,118.1980189,24.51098186,25,118.1960842,24.51082948,470,5,1285
961,49,118.1980189,24.51098186,53,118.1979515,24.51209628,87,5,352
870,50,118.2003003,24.51108935,49,118.1980189,24.51098186,358,5,1285
1281,66,118.198525,24.51599731,59,118.1993022,24.51561468,742,5,277
1304,67,118.1978258,24.51630896,66,118.198525,24.51599731,742,5,277
20,101,118.2042224,24.50782179,102,118.2043085,24.50694379,1313,5,554
